Date,BTC_Close,Daily_Return,SMA_21,SMA_50
2024-09-29,65635.3046875,-0.003829909793174213,61737.85472470238,60216.483359375
2024-09-30,63329.5,-0.035130555094979754,62038.32924107143,60308.683671875
2024-10-01,60837.0078125,-0.039357521968434894,62190.15290178572,60338.333515625
2024-10-02,60632.78515625,-0.0033568819965540397,62346.80115327381,60338.797890625
2024-10-03,60759.40234375,0.0020882627636797935,62472.15308779762,60379.240546875
2024-10-04,62067.4765625,0.021528753876634443,62543.39955357143,60469.388125
2024-10-05,62089.94921875,0.0003620681473552878,62642.677083333336,60533.305
2024-10-06,62818.953125,0.011741093613744757,62815.825520833336,60600.104609375
2024-10-07,62236.66015625,-0.009269383518558882,63008.404203869046,60675.158515625
2024-10-08,62131.96875,-0.001682150134457161,63095.23418898809,60727.928828125
2024-10-09,60582.1015625,-0.024944762232405493,63044.397135416664,60759.315
2024-10-10,60274.5,-0.005077433013489285,62917.44680059524,60741.301171875
2024-10-11,62445.08984375,0.036011743668549645,62881.83314732143,60782.5646875
2024-10-12,63193.0234375,0.011977460447594401,62872.22284226191,60764.538046875
2024-10-13,62851.375,-0.005406426515387475,62834.25446428572,60737.985703125
2024-10-14,66046.125,0.050830232433260125,62963.603236607145,60772.23734375
2024-10-15,67041.109375,0.015064992457922477,63094.03850446428,60855.446328125
2024-10-16,67612.71875,0.008526251733136592,63306.87537202381,61017.618046875
2024-10-17,67399.8359375,-0.0031485616380424464,63412.533296130954,61185.062265625
2024-10-18,68418.7890625,0.015118035686984221,63537.68210565476,61365.674453125
2024-10-19,68362.734375,-0.0008192879217548965,63655.54334077381,61550.539609375
2024-10-20,69001.703125,0.009346740674458287,63815.84802827381,61751.175703125
2024-10-21,67367.8515625,-0.023678423698328066,64008.150483630954,61952.02296875
2024-10-22,67361.40625,-9.567341618454961e-05,64318.83612351191,62117.001484375
2024-10-23,66432.1953125,-0.01379441121005398,64594.99851190476,62297.024921875
2024-10-24,68161.0546875,0.02602442034118191,64947.45814732143,62500.815234375
2024-10-25,66642.4140625,-0.022280180844656217,65165.31231398809,62710.45375
2024-10-26,67014.6953125,0.00558625096700216,65399.82403273809,62971.772578125
2024-10-27,67929.296875,0.01364777618155344,65643.17373511905,63247.564765625
2024-10-28,69907.7578125,0.029125296867722028,66008.46409970238,63548.88859375
2024-10-29,72720.4921875,0.04023493905417541,66512.67950148809,63862.907734375
2024-10-30,72339.5390625,-0.005238593875544262,67072.55747767857,64156.724296875
2024-10-31,70215.1875,-0.029366396164960396,67545.92354910714,64414.164609375
2024-11-01,69482.46875,-0.010435331387529279,67881.03683035714,64641.27375
2024-11-02,69289.2734375,-0.0027804900426771084,68171.33444940476,64815.633203125
2024-11-03,68741.1171875,-0.00791112711687536,68451.79836309524,64990.353125
2024-11-04,67811.5078125,-0.013523338185854272,68535.86421130953,65162.9265625
2024-11-05,69359.5625,0.02282879023690776,68646.26674107143,65386.26765625
2024-11-06,75639.078125,0.09053568676993895,69028.47433035714,65692.8784375
2024-11-07,75904.859375,0.003513808689745934,69433.47544642857,65977.98203125
2024-11-08,76545.4765625,0.008439738809541852,69820.46056547618,66250.082421875
2024-11-09,76778.8671875,0.0030490452928257916,70221.22879464286,66521.800234375
2024-11-10,80474.1875,0.048129393514959595,70767.53757440476,66863.3871875
2024-11-11,88701.484375,0.10223522760015435,71783.42485119047,67364.44265625
2024-11-12,87955.8125,-0.008406532091926988,72764.11086309524,67856.962890625
2024-11-13,90584.1640625,0.029882636380625716,73914.20461309524,68382.606796875
2024-11-14,87250.4296875,-0.03680261786927608,74823.22247023809,68864.7525
2024-11-15,91066.0078125,0.04373133907381366,75986.25074404762,69382.452265625
2024-11-16,90558.4765625,-0.005573223886622736,77107.38318452382,69877.808515625
2024-11-17,89845.8515625,-0.007869224693816235,78151.02864583333,70356.972578125
2024-11-18,90542.640625,0.007755383808848215,79133.64211309524,70855.119296875
2024-11-19,92343.7890625,0.019892819836786257,80068.08482142857,71435.405078125
2024-11-20,94339.4921875,0.02161166598491282,81115.70163690476,72105.454765625
2024-11-21,98504.7265625,0.044151545428309014,82462.82254464286,72862.89359375
2024-11-22,98997.6640625,0.005004201495724558,83868.30803571429,73627.658828125
2024-11-23,97777.28125,-0.012327389984975179,85224.87983630953,74341.854921875
2024-11-24,98013.8203125,0.002419161787646784,86618.81808035714,75060.33234375
